State,Coordinates
Uttar Pradesh,"{'Latitude': 26.4304, 'Longitude': 82.5357}"
Uttar Pradesh,"{'Latitude': 26.222, 'Longitude': 84.366}"
Uttar Pradesh,"{'Latitude': 25.3204, 'Longitude': 82.9883}"
Uttar Pradesh,"{'Latitude': 26.5604, 'Longitude': 82.4927}"
Uttar Pradesh,"{'Latitude': 26.1515, 'Longitude': 83.3902}"
Uttar Pradesh,"{'Latitude': 25.1808, 'Longitude': 84.2852}"
Uttar Pradesh,"{'Latitude': 25.152, 'Longitude': 82.5719}"
Uttar Pradesh,"{'Latitude': 27.3929, 'Longitude': 82.4127}"
Uttar Pradesh,"{'Latitude': 26.7572, 'Longitude': 83.2138}"
Uttar Pradesh,"{'Latitude': 27.5213, 'Longitude': 82.2939}"
Uttar Pradesh,"{'Latitude': 25.7452, 'Longitude': 83.5074}"
Uttar Pradesh,"{'Latitude': 25.2763, 'Longitude': 82.4425}"
Uttar Pradesh,"{'Latitude': 25.2656, 'Longitude': 83.3232}"
Uttar Pradesh,"{'Latitude': 25.6019, 'Longitude': 82.6028}"
Uttar Pradesh,"{'Latitude': 26.3286, 'Longitude': 84.2153}"
Uttar Pradesh,"{'Latitude': 25.8459, 'Longitude': 82.2202}"
Uttar Pradesh,"{'Latitude': 27.126, 'Longitude': 82.355}"
Uttar Pradesh,"{'Latitude': 25.9315, 'Longitude': 83.8374}"
Uttar Pradesh,"{'Latitude': 25.1663, 'Longitude': 83.6178}"
Uttar Pradesh,"{'Latitude': 27.6152, 'Longitude': 82.6487}"
Uttar Pradesh,"{'Latitude': 25.3549, 'Longitude': 83.007}"
Uttar Pradesh,"{'Latitude': 25.4696, 'Longitude': 84.1449}"
Uttar Pradesh,"{'Latitude': 25.3943, 'Longitude': 83.8971}"
Uttar Pradesh,"{'Latitude': 26.8657, 'Longitude': 84.511}"
Uttar Pradesh,"{'Latitude': 26.6495, 'Longitude': 83.9892}"
Uttar Pradesh,"{'Latitude': 25.4667, 'Longitude': 84.4181}"
Uttar Pradesh,"{'Latitude': 27.1096, 'Longitude': 83.8777}"
Uttar Pradesh,"{'Latitude': 25.2928, 'Longitude': 82.9991}"
Uttar Pradesh,"{'Latitude': 25.7898, 'Longitude': 84.4801}"
Uttar Pradesh,"{'Latitude': 25.4154, 'Longitude': 83.5596}"
Uttar Pradesh,"{'Latitude': 27.5221, 'Longitude': 82.6262}"
Uttar Pradesh,"{'Latitude': 25.2643, 'Longitude': 82.5602}"
Uttar Pradesh,"{'Latitude': 25.9006, 'Longitude': 83.9802}"
Uttar Pradesh,"{'Latitude': 26.4358, 'Longitude': 82.5425}"
Uttar Pradesh,"{'Latitude': 26.4298, 'Longitude': 82.5347}"
Uttar Pradesh,"{'Latitude': 26.0552, 'Longitude': 82.6784}"
Uttar Pradesh,"{'Latitude': 26.0794, 'Longitude': 83.2886}"
Uttar Pradesh,"{'Latitude': 27.1558, 'Longitude': 82.99}"
Uttar Pradesh,"{'Latitude': 25.3584, 'Longitude': 82.5718}"
Uttar Pradesh,"{'Latitude': 24.3506, 'Longitude': 83.7054}"
Uttar Pradesh,"{'Latitude': 25.3499, 'Longitude': 83.0228}"
Uttar Pradesh,"{'Latitude': 26.1362, 'Longitude': 82.2293}"
Uttar Pradesh,"{'Latitude': 27.1875, 'Longitude': 82.4139}"
Uttar Pradesh,"{'Latitude': 26.1464, 'Longitude': 83.4418}"
Uttar Pradesh,"{'Latitude': 25.565, 'Longitude': 83.9806}"
Uttar Pradesh,"{'Latitude': 25.6376, 'Longitude': 82.916}"
Uttar Pradesh,"{'Latitude': 25.8985, 'Longitude': 84.0382}"
Uttar Pradesh,"{'Latitude': 25.3066, 'Longitude': 82.9913}"
Uttar Pradesh,"{'Latitude': 25.3231, 'Longitude': 83.0003}"
Uttar Pradesh,"{'Latitude': 26.7526, 'Longitude': 84.1084}"
Uttar Pradesh,"{'Latitude': 26.5497, 'Longitude': 82.6646}"
Uttar Pradesh,"{'Latitude': 25.0488, 'Longitude': 83.2189}"
Uttar Pradesh,"{'Latitude': 26.0327, 'Longitude': 83.3833}"
